kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Lebak Gede,102,Coblong,99.83310280926128,280.8830695068615,51.94713389195185,21.709227645377748,100.0,100.0,99.4436760308709,100.0,100.0
Lebak Siliwangi,103,Coblong,100.0,395.06356605714166,43.03978161943226,45.5662539268537,100.0,100.0,100.0,100.0,100.0
Cipaganti,104,Coblong,99.4963052384283,291.10480942076646,55.87643888500313,31.68979785389879,100.0,100.0,98.32101746142767,100.0,100.0
Hegarmanah,105,Cidadap,90.14851231742678,155.29090930677165,53.91334799751563,7.3119228610470115,100.0,100.0,98.88190057213839,36.55961430523506,100.0
Ciumbuleuit,106,Cidadap,84.61537120775753,93.37402463847195,67.96364577692488,1.5401496991347987,92.53968253968254,100.0,94.86752977802146,7.700748495673994,100.0
Gegerkalong,107,Sukajadi,85.3434043095443,145.94194701954964,63.210988321022576,1.9676996494140275,100.0,100.0,96.22543190827926,9.838498247070138,100.0
Pasteur,108,Sukasari,86.73735171911964,206.26673162377094,54.645119131822085,2.8473397167487193,100.0,100.0,98.67282310519369,14.236698583743596,100.0
Sukabungah,109,Sukasari,86.17933668328675,297.14438172102433,50.613952882242806,1.642614954733899,100.0,100.0,99.82458489078778,8.213074773669495,100.0
Cipedes,110,Sukasari,88.8722019554647,226.93743760106878,53.43844601123581,5.555901199046555,100.0,100.0,99.01758685393263,27.77950599523277,100.0
Sukagalih,111,Sukasari,84.66557063386149,158.48133449179454,63.66311050580548,1.115592522002621,100.0,100.0,96.09625414119843,5.577962610013105,100.0
Sukarasa,112,Sukajadi,84.19419151909378,160.23974449671158,67.90759351134763,0.9721708077076218,100.0,100.0,94.88354471104353,4.8608540385381085,100.0
Sarijadi,113,Sukajadi,84.68051133427059,250.50142327533646,53.727367766843116,0.0,100.0,100.0,98.93503778090196,0.0,100.0
Sukawarna,114,Sukasari,84.8945830607272,186.33887119954136,57.84645631697304,0.756181945766535,100.0,100.0,97.7581553380077,3.780909728832675,100.0
Sukaraja,115,Cicendo,86.04610944950791,211.8827870433694,48.53813095082597,1.394812599343885,100.0,100.0,100.0,6.974062996719424,100.0
Husen Sastranegara,116,Cicendo,83.89712004296746,84.15842897745388,63.45461012604526,0.06716311931416212,98.22064056939502,100.0,96.15582567827279,0.3358155965708106,100.0
Pajajaran,117,Cicendo,86.11571927843012,155.5045859039894,53.689068185503565,1.9092334972024723,100.0,100.0,98.94598051842756,9.546167486012362,100.0
Pamoyanan,118,Cicendo,88.5647908196946,254.8438492958035,55.22576366397073,5.350284559284707,100.0,100.0,98.50692466743693,26.751422796423537,100.0
Arjuna,119,Cicendo,85.78452614026844,189.13520097654464,59.367851142060495,2.1166464127838918,100.0,100.0,97.32347110226843,10.583232063919459,100.0
Pasirkaliki,120,Cicendo,94.8217391028727,286.01624539112487,49.260560081870054,13.09565213716359,100.0,100.0,100.0,65.47826068581794,100.0
Kebon Jeruk,121,Andir,96.8051113701833,267.6359380852697,54.48741624001493,16.252996063865144,100.0,100.0,98.71788107428145,81.26498031932572,100.0
